#World - Test World
#Cell - 0,0
2,-362.0,49.0,-251.0,-32.0
2,-251.0,-32.0,-224.0,-125.0
2,-224.0,-125.0,-163.0,-168.0
2,-162.0,-169.0,-55.0,-166.0
2,-55.0,-166.0,-1.0,-128.0
2,37.0,-129.0,0.0,-127.0
2,40.0,-130.0,155.0,-194.0
2,155.0,-194.0,221.0,-187.0
2,221.0,-187.0,328.0,-233.0
2,328.0,-233.0,391.0,-178.0
2,391.0,-178.0,391.0,4.0
2,392.0,5.0,404.0,5.0
2,124.0,-175.0,158.0,-157.0
2,159.0,-154.0,254.0,-154.0
2,254.0,-154.0,316.0,-116.0
2,316.0,-116.0,391.0,-107.0
2,67.0,-86.0,140.0,-59.0
2,142.0,-59.0,200.0,-66.0
2,200.0,-66.0,287.0,-59.0
2,64.0,-86.0,-9.0,-93.0
2,-9.0,-93.0,-26.0,-132.0
2,-224.0,-44.0,-136.0,-44.0
4,-338.0,35.0
4,-267.0,-19.0
4,-143.0,-44.0
4,14.0,-89.0
4,160.0,-59.0
4,272.0,-58.0
4,356.0,-114.0
4,-94.0,-167.0
4,397.0,6.0
4,243.0,-63.0
4,219.0,-65.0
